% MODELO - PÓRTICO 2 - Pórtico com estacas metálicas sobre base elástica
% Coordenadas dos nós
% Nó	Incremento	Coord. X	Coord. Y	Coord. Z
132         0.3     0.7     0.00750     0.01750      1
133         0.3     0.7     0.00750     0.01750      1
134         0.3     0.7     0.00750     0.01750      1
135         0.3     0.7     0.00750     0.01750      1
136         0.3     0.7     0.00750     0.01750      1
137         0.3     0.7     0.00750     0.01750      1
138         0.3     0.7     0.00750     0.01750      1
139         0.3     0.7     0.00750     0.01750      1
140         0.3     0.7     0.00750     0.01750      1
141         0.3     0.7     0.00750     0.01750      1
142         0.3     0.7     0.00750     0.01750      1
143     	0.3     0.7     0.00750     0.01750      1
144         0.3     0.7     0.00750     0.01750      1
145         0.3     0.7     0.00750     0.01750      1
146         0.3     0.7     0.00750     0.01750      1
147         0.3     0.7     0.00750     0.01750      1
148     	0.3     0.7     0.00750     0.01750      1
149         0.3     0.7     0.00750     0.01750      1
150         0.3     0.7     0.00750     0.01750      1
151         0.3     0.7     0.00750     0.01750      1
152         0.3     0.7     0.00750     0.01750      1
153         0.3     0.7     0.00750     0.01750      1
154         0.3     0.7     0.00750     0.01750      1
155         0.3     0.7     0.00750     0.01750      1
156         0.3     0.7     0.00750     0.01750      1
157         0.3     0.7     0.00750     0.01750      1
158         0.3     0.7     0.00750     0.01750      1
159         0.3     0.7     0.00750     0.01750      1
160         0.3     0.7     0.00750     0.01750      1
161         0.3     0.7     0.00750     0.01750      1
162         0.3     0.7     0.00750     0.01750      1
163         0.3     0.7     0.00750     0.01750      1
164         0.3     0.7     0.00750     0.01750      1
165         0.3     0.7     0.00750     0.01750      1
166         0.3     0.7     0.00750     0.01750      1       
167         0.3     0.7     0.00750     0.01750      1
168         0.3     0.7     0.00750     0.01750      1
169         0.3     0.7     0.00750     0.01750      1
170         0.3     0.7     0.00750     0.01750      1
171         0.3     0.7     0.00750     0.01750      1
172         0.3     0.7     0.00750     0.01750      1
173         0.3     0.7     0.00750     0.01750      1
174         0.3     0.7     0.00750     0.01750      1
175         0.3     0.7     0.00750     0.01750      1
176         0.3     0.7     0.00750     0.01750      1
177	        0.3     0.7     0.00750     0.01750      1
178         0.3     0.7     0.00750     0.01750      1
179         0.3     0.7     0.00750     0.01750      1
180         0.3     0.7     0.00750     0.01750      1
181         0.3     0.7     0.00750     0.01750      1
182         0.3     0.7     0.00750     0.01750      1
183         0.3     0.7     0.00750     0.01750      1
184         0.3     0.7     0.00750     0.01750      1
185         0.3     0.7     0.00750     0.01750      1
186         0.3     0.7     0.00750     0.01750      1
187         0.3     0.7     0.00750     0.01750      1
188         0.3     0.7     0.00750     0.01750      1
189         0.3     0.7     0.00750     0.01750      1
190         0.3     0.7     0.00750     0.01750      1
191         0.3     0.7     0.00750     0.01750      1
192         0.3     0.7     0.00750     0.01750      1
193         0.3     0.7     0.00750     0.01750      1
194         0.3     0.7     0.00750     0.01750      1
195         0.3     0.7     0.00750     0.01750      1
% Elementos constituídos por perfis metálicos
% Elemento  tw          h           bf          tf          Desv.Pad    QntElemeDiscret
0           0.0102      0.2158      0.206       0.0174      0           1
